SPEED,LAT,LONG
0.04,22.568575,75.605461
0.02,22.568573,75.605461
0.02,22.568571,75.605461
0.04,22.568569,75.605461
0.04,22.568565,75.605461
0.04,22.568563,75.605461
0.04,22.568563,75.605461
0.00,22.568560,75.605469
0.00,22.568560,75.605469
0.06,22.568560,75.605469
0.02,22.568558,75.605469
0.02,22.568556,75.605469
0.02,22.568556,75.605469
0.02,22.568556,75.605469
0.04,22.568556,75.605469
0.06,22.568556,75.605469
0.06,22.568556,75.605469
0.02,22.568556,75.605469
0.02,22.568556,75.605469
0.02,22.568554,75.605476
0.02,22.568552,75.605476
0.02,22.568550,75.605476
0.02,22.568548,75.605476
0.02,22.568544,75.605484
0.02,22.568544,75.605484
0.04,22.568542,75.605484
0.06,22.568542,75.605484
0.06,22.568542,75.605484
0.06,22.568542,75.605484
0.06,22.568542,75.605492
0.02,22.568541,75.605492
0.04,22.568541,75.605492
0.04,22.568539,75.605492
7.39,22.568542,75.605484
10.72,22.568584,75.605461
11.63,22.568611,75.605438
11.63,22.568636,75.605423
9.57,22.568661,75.605408
11.32,22.568710,75.605385
12.58,22.568739,75.605362
12.58,22.568768,75.605354
12.26,22.568800,75.605339
11.30,22.568859,75.605316
11.15,22.568886,75.605309
11.15,22.568916,75.605301
12.65,22.568949,75.605286
12.41,22.568979,75.605278
11.65,22.569038,75.605263
11.65,22.569071,75.605255
12.89,22.569099,75.605240
12.89,22.569166,75.605225
12.41,22.569197,75.605217
12.41,22.569229,75.605209
13.46,22.569262,75.605202
13.20,22.569326,75.605171
12.82,22.569357,75.605156
12.82,22.569389,75.605141
13.24,22.569420,75.605125
15.50,22.569485,75.605080
16.28,22.569519,75.605057
16.28,22.569559,75.605034
18.65,22.569599,75.605011
20.89,22.569691,75.604950
20.93,22.569736,75.604927
20.93,22.569782,75.604897
19.80,22.569826,75.604866
19.28,22.569910,75.604805
18.96,22.569954,75.604782
18.96,22.569996,75.604759
19.17,22.570040,75.604729
19.83,22.570127,75.604691
20.61,22.570177,75.604675
20.61,22.570225,75.604652
20.59,22.570272,75.604637
20.54,22.570324,75.604622
17.93,22.570416,75.604591
17.93,22.570457,75.604584
17.61,22.570498,75.604568
17.74,22.570585,75.604538
18.15,22.570629,75.604523
18.15,22.570675,75.604507
19.50,22.570723,75.604492
19.52,22.570820,75.604469
19.69,22.570869,75.604462
19.69,22.570919,75.604462
18.76,22.570967,75.604462
18.65,22.571056,75.604462
19.46,22.571104,75.604469
19.46,22.571152,75.604477
20.33,22.571198,75.604485
19.61,22.571247,75.604492
19.59,22.571342,75.604507
19.59,22.571388,75.604515
12.28,22.571424,75.604523
10.61,22.571453,75.604530
11.98,22.571510,75.604530
11.98,22.571539,75.604538
6.59,22.571560,75.604538
7.13,22.571592,75.604538
5.20,22.571604,75.604546
5.20,22.571619,75.604546
9.00,22.571636,75.604538
9.00,22.571676,75.604538
8.54,22.571697,75.604538
8.54,22.571716,75.604538
9.76,22.571739,75.604538
10.22,22.571791,75.604538
9.96,22.571814,75.604538
9.96,22.571838,75.604538
10.50,22.571863,75.604530
10.50,22.571911,75.604530
12.15,22.571939,75.604523
12.15,22.571972,75.604515
12.59,22.572002,75.604515
11.70,22.572062,75.604500
12.13,22.572090,75.604500
12.13,22.572123,75.604492
12.85,22.572151,75.604485
15.19,22.572189,75.604485
18.26,22.572275,75.604500
18.26,22.572319,75.604507
19.58,22.572363,75.604523
18.32,22.572454,75.604561
18.28,22.572498,75.604584
18.28,22.572542,75.604591
18.91,22.572586,75.604591
15.54,22.572664,75.604568
15.61,22.572695,75.604538
15.61,22.572721,75.604500
16.93,22.572746,75.604462
17.26,22.572794,75.604385
17.19,22.572815,75.604340
17.19,22.572840,75.604301
17.78,22.572865,75.604256
18.63,22.572912,75.604156
18.74,22.572931,75.604111
18.74,22.572948,75.604065
19.06,22.572966,75.604019
19.39,22.572994,75.603920
20.50,22.573011,75.603867
20.50,22.573029,75.603813
20.17,22.573046,75.603760
22.74,22.573082,75.603653
23.45,22.573107,75.603600
23.45,22.573139,75.603546
24.09,22.573181,75.603500
25.00,22.573280,75.603424
24.52,22.573330,75.603386
24.52,22.573378,75.603348
24.19,22.573425,75.603310
24.26,22.573515,75.603218
25.87,22.573561,75.603165
25.87,22.573601,75.603119
25.00,22.573641,75.603065
24.08,22.573713,75.602959
23.15,22.573748,75.602905
23.15,22.573780,75.602852
26.17,22.573809,75.602791
27.67,22.573849,75.602654
28.67,22.573866,75.602570
28.67,22.573883,75.602493
30.13,22.573906,75.602417
30.17,22.573933,75.602341
27.56,22.574007,75.602196
27.56,22.574049,75.602135
25.22,22.574087,75.602081
23.91,22.574158,75.601982
22.39,22.574190,75.601929
22.39,22.574223,75.601875
20.91,22.574253,75.601830
20.91,22.574297,75.601738
19.46,22.574310,75.601685
19.46,22.574320,75.601631
21.34,22.574327,75.601570
24.22,22.574347,75.601448
25.93,22.574362,75.601379
25.93,22.574375,75.601311
24.48,22.574389,75.601250
25.35,22.574427,75.601120
24.19,22.574446,75.601051
24.19,22.574469,75.600990
26.61,22.574497,75.600929
26.84,22.574556,75.600800
27.48,22.574589,75.600731
27.48,22.574623,75.600670
26.37,22.574659,75.600609
21.98,22.574697,75.600555
18.76,22.574757,75.600479
18.76,22.574787,75.600441
13.80,22.574816,75.600410
9.46,22.574856,75.600380
7.56,22.574869,75.600365
7.56,22.574881,75.600349
0.22,22.574884,75.600349
0.15,22.574886,75.600342
13.98,22.574909,75.600327
13.98,22.574936,75.600304
14.06,22.574965,75.600281
20.95,22.575041,75.600220
17.54,22.575077,75.600182
17.54,22.575108,75.600151
17.46,22.575140,75.600121
15.85,22.575172,75.600098
15.74,22.575226,75.600037
15.74,22.575254,75.600006
16.59,22.575283,75.599976
16.52,22.575314,75.599945
18.06,22.575373,75.599884
18.06,22.575405,75.599846
19.65,22.575438,75.599808
20.85,22.575510,75.599731
21.82,22.575548,75.599693
21.82,22.575590,75.599655
23.56,22.575634,75.599617
23.56,22.575727,75.599525
24.96,22.575779,75.599487
24.96,22.575829,75.599449
22.28,22.575876,75.599411
21.06,22.575966,75.599342
21.58,22.576004,75.599312
21.65,22.576048,75.599274
21.78,22.576090,75.599236
22.78,22.576176,75.599159
22.65,22.576220,75.599121
22.65,22.576267,75.599083
23.28,22.576313,75.599052
23.84,22.576363,75.599014
22.89,22.576460,75.598946
22.89,22.576504,75.598923
11.96,22.576534,75.598900
0.15,22.576561,75.598877
0.07,22.576563,75.598877
0.07,22.576565,75.598877
0.02,22.576565,75.598885
0.02,22.576567,75.598885
0.02,22.576567,75.598885
0.02,22.576569,75.598885
0.00,22.576571,75.598885
10.00,22.576590,75.598869
12.48,22.576612,75.598854
12.48,22.576639,75.598831
13.50,22.576666,75.598816
13.61,22.576723,75.598770
12.61,22.576750,75.598755
12.61,22.576773,75.598732
7.30,22.576788,75.598724
9.56,22.576818,75.598701
12.96,22.576841,75.598686
12.96,22.576866,75.598671
7.04,22.576883,75.598656
10.95,22.576920,75.598625
9.26,22.576937,75.598610
9.26,22.576960,75.598595
15.09,22.576990,75.598579
17.26,22.577065,75.598526
16.87,22.577103,75.598495
16.87,22.577133,75.598465
12.78,22.577164,75.598450
14.61,22.577221,75.598412
15.98,22.577253,75.598389
15.98,22.577286,75.598358
15.59,22.577318,75.598335
15.56,22.577381,75.598297
10.95,22.577404,75.598274
10.95,22.577425,75.598259
7.74,22.577436,75.598244
11.20,22.577457,75.598190
10.28,22.577456,75.598160
10.28,22.577442,75.598137
13.61,22.577419,75.598106
11.50,22.577368,75.598076
9.87,22.577341,75.598076
9.87,22.577312,75.598076
11.54,22.577278,75.598084
10.06,22.577230,75.598099
9.93,22.577208,75.598106
9.93,22.577183,75.598114
10.39,22.577158,75.598129
10.91,22.577108,75.598152
11.02,22.577084,75.598160
11.02,22.577055,75.598183
14.67,22.577023,75.598198
14.02,22.576992,75.598213
13.69,22.576925,75.598251
13.69,22.576893,75.598267
14.39,22.576860,75.598282
12.08,22.576801,75.598312
12.35,22.576773,75.598320
12.35,22.576744,75.598335
11.93,22.576717,75.598343
11.76,22.576662,75.598373
12.78,22.576633,75.598389
12.78,22.576601,75.598404
15.08,22.576567,75.598427
14.28,22.576500,75.598465
15.59,22.576466,75.598480
15.59,22.576427,75.598503
14.78,22.576395,75.598518
14.22,22.576326,75.598557
14.59,22.576292,75.598572
14.59,22.576258,75.598587
15.00,22.576225,75.598610
12.59,22.576168,75.598648
7.52,22.576149,75.598663
7.52,22.576138,75.598679
4.22,22.576130,75.598686
5.82,22.576124,75.598694
0.19,22.576111,75.598694
0.19,22.576111,75.598694
0.02,22.576113,75.598694
0.04,22.576113,75.598701
0.02,22.576120,75.598701
0.02,22.576120,75.598701
0.15,22.576117,75.598701
0.04,22.576117,75.598701
0.07,22.576118,75.598701
0.07,22.576118,75.598701
0.04,22.576118,75.598709
0.09,22.576118,75.598709
0.13,22.576122,75.598709
0.13,22.576124,75.598709
0.06,22.576124,75.598709
0.02,22.576126,75.598709
0.06,22.576126,75.598709
0.06,22.576118,75.598709
0.02,22.576115,75.598709
0.02,22.576115,75.598709
0.35,22.576109,75.598717
0.35,22.576090,75.598732
14.39,22.576061,75.598755
11.91,22.576035,75.598778
10.72,22.575993,75.598824
10.72,22.575977,75.598846
9.13,22.575958,75.598869
6.95,22.575933,75.598900
7.78,22.575920,75.598915
7.78,22.575905,75.598930
11.15,22.575886,75.598953
10.15,22.575869,75.598984
12.33,22.575830,75.599030
12.33,22.575809,75.599052
12.46,22.575789,75.599083
12.41,22.575745,75.599129
11.82,22.575726,75.599159
11.82,22.575705,75.599182
11.69,22.575686,75.599205
11.96,22.575647,75.599251
8.45,22.575630,75.599274
8.45,22.575617,75.599289
7.48,22.575603,75.599312
6.61,22.575579,75.599335
8.78,22.575565,75.599350
8.78,22.575548,75.599365
7.00,22.575535,75.599380
6.07,22.575514,75.599411
6.48,22.575504,75.599426
6.48,22.575491,75.599434
3.80,22.575483,75.599442
5.04,22.575476,75.599457
10.70,22.575447,75.599487
10.70,22.575426,75.599510
11.35,22.575407,75.599533
10.89,22.575371,75.599579
9.91,22.575356,75.599602
9.91,22.575340,75.599617
6.28,22.575327,75.599632
0.22,22.575312,75.599648
8.89,22.575300,75.599663
8.89,22.575285,75.599678
9.11,22.575266,75.599693
9.11,22.575228,75.599731
9.13,22.575212,75.599754
9.13,22.575199,75.599770
9.22,22.575184,75.599792
9.22,22.575157,75.599831
8.76,22.575144,75.599846
8.76,22.575130,75.599869
9.07,22.575115,75.599884
8.76,22.575085,75.599922
9.65,22.575068,75.599937
9.65,22.575050,75.599960
11.50,22.575027,75.599983
8.32,22.574995,75.600021
6.48,22.574982,75.600037
6.48,22.574972,75.600044
7.28,22.574961,75.600060
6.48,22.574936,75.600082
7.19,22.574923,75.600098
7.19,22.574909,75.600113
7.96,22.574896,75.600121
12.91,22.574854,75.600159
8.28,22.574831,75.600174
8.28,22.574818,75.600189
0.41,22.574810,75.600197
0.41,22.574770,75.600220
17.69,22.574732,75.600235
11.95,22.574697,75.600258
13.82,22.574667,75.600273
10.80,22.574610,75.600304
9.57,22.574585,75.600319
9.57,22.574564,75.600327
10.67,22.574541,75.600342
10.15,22.574493,75.600372
10.13,22.574471,75.600388
10.13,22.574448,75.600395
10.89,22.574421,75.600410
10.82,22.574394,75.600426
12.33,22.574341,75.600449
12.33,22.574310,75.600472
14.11,22.574278,75.600487
15.11,22.574209,75.600517
15.76,22.574173,75.600533
15.76,22.574137,75.600555
16.39,22.574099,75.600571
16.41,22.574020,75.600609
16.52,22.573984,75.600624
16.52,22.573944,75.600647
16.93,22.573906,75.600662
14.50,22.573828,75.600700
15.41,22.573793,75.600716
15.41,22.573757,75.600731
15.48,22.573719,75.600746
14.56,22.573650,75.600769
14.93,22.573614,75.600784
14.93,22.573580,75.600800
13.52,22.573549,75.600815
12.95,22.573521,75.600830
11.35,22.573465,75.600853
11.35,22.573439,75.600868
13.00,22.573412,75.600876
13.39,22.573351,75.600906
13.39,22.573322,75.600914
13.39,22.573288,75.600922
13.48,22.573257,75.600937
11.80,22.573195,75.600945
12.15,22.573164,75.600952
12.15,22.573135,75.600952
12.30,22.573105,75.600960
12.30,22.573048,75.600960
9.63,22.573021,75.600960
9.63,22.572998,75.600967
8.72,22.572977,75.600967
8.65,22.572933,75.600967
10.37,22.572908,75.600975
10.37,22.572882,75.600975
10.93,22.572855,75.600983
9.57,22.572830,75.600983
9.93,22.572783,75.600990
9.93,22.572758,75.600990
10.96,22.572729,75.600998
9.83,22.572704,75.600998
7.85,22.572662,75.601006
7.85,22.572643,75.601006
11.15,22.572620,75.601013
4.93,22.572580,75.601013
6.59,22.572557,75.601013
6.59,22.572544,75.601013
7.61,22.572531,75.601021
11.04,22.572483,75.601028
12.37,22.572454,75.601021
12.37,22.572426,75.601021
8.80,22.572399,75.601013
7.74,22.572359,75.600990
7.65,22.572344,75.600990
7.65,22.572327,75.600983
3.54,22.572317,75.600983
0.57,22.572302,75.600983
7.43,22.572287,75.600983
7.43,22.572266,75.600983
5.13,22.572247,75.600983
6.78,22.572222,75.600975
7.39,22.572203,75.600975
7.39,22.572182,75.600975
13.65,22.572157,75.600990
11.54,22.572100,75.601013
8.22,22.572081,75.601028
8.22,22.572065,75.601044
6.24,22.572052,75.601051
10.76,22.572031,75.601051
13.17,22.571980,75.601059
13.17,22.571953,75.601082
7.82,22.571934,75.601097
5.32,22.571920,75.601105
0.06,22.571917,75.601112
0.06,22.571913,75.601112
7.45,22.571901,75.601120
4.96,22.571877,75.601143
4.26,22.571867,75.601151
4.26,22.571857,75.601151
8.37,22.571844,75.601158
6.00,22.571808,75.601166
5.43,22.571793,75.601166
5.43,22.571777,75.601166
8.61,22.571756,75.601166
8.48,22.571712,75.601166
8.93,22.571693,75.601166
8.93,22.571671,75.601173
6.26,22.571651,75.601173
8.32,22.571617,75.601181
6.17,22.571604,75.601181
6.17,22.571598,75.601189
8.24,22.571589,75.601196
10.19,22.571554,75.601227
6.50,22.571539,75.601234
6.50,22.571524,75.601234
8.24,22.571505,75.601227
7.06,22.571463,75.601227
7.04,22.571447,75.601227
7.04,22.571428,75.601227
7.32,22.571409,75.601227
8.15,22.571369,75.601227
5.28,22.571354,75.601219
5.28,22.571346,75.601227
0.02,22.571346,75.601227
0.00,22.571350,75.601227
0.00,22.571354,75.601227
0.00,22.571356,75.601227
0.00,22.571358,75.601227
0.00,22.571365,75.601227
0.00,22.571367,75.601227
0.00,22.571367,75.601227
0.00,22.571369,75.601227
0.00,22.571367,75.601227
0.02,22.571365,75.601227
0.02,22.571365,75.601219
0.00,22.571365,75.601219
0.00,22.571365,75.601219
0.00,22.571363,75.601219
0.00,22.571363,75.601219
0.00,22.571363,75.601219
0.00,22.571362,75.601219
0.07,22.571362,75.601219
0.07,22.571362,75.601219
0.11,22.571362,75.601219
0.11,22.571362,75.601219
0.07,22.571362,75.601219
0.07,22.571363,75.601227
0.06,22.571363,75.601227
0.04,22.571363,75.601227
0.04,22.571363,75.601227
0.04,22.571362,75.601227
0.06,22.571362,75.601227
0.06,22.571360,75.601227
0.06,22.571358,75.601227
0.06,22.571358,75.601227
0.04,22.571358,75.601227
0.02,22.571360,75.601227
0.02,22.571360,75.601227
0.02,22.571360,75.601227
0.02,22.571360,75.601227
0.02,22.571360,75.601227
0.02,22.571358,75.601227
0.02,22.571358,75.601227
0.02,22.571358,75.601227
0.02,22.571358,75.601227
0.02,22.571358,75.601227
0.02,22.571360,75.601227
0.02,22.571360,75.601227
0.02,22.571362,75.601227
0.02,22.571362,75.601227
0.02,22.571362,75.601227
0.02,22.571362,75.601227
0.02,22.571362,75.601227
0.06,22.571362,75.601234
0.06,22.571362,75.601234
0.06,22.571362,75.601234
0.04,22.571362,75.601234
0.02,22.571362,75.601234
0.02,22.571362,75.601234
0.02,22.571362,75.601227
0.02,22.571362,75.601227
0.02,22.571362,75.601227
0.02,22.571362,75.601227
0.02,22.571363,75.601227
0.04,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.04,22.571363,75.601227
0.04,22.571363,75.601227
0.04,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571363,75.601227
0.02,22.571362,75.601227
0.02,22.571362,75.601227
0.02,22.571360,75.601227
0.02,22.571358,75.601227
0.02,22.571358,75.601227
0.02,22.571358,75.601227
0.04,22.571356,75.601227
0.02,22.571356,75.601227
0.02,22.571356,75.601227
0.02,22.571354,75.601234
0.02,22.571354,75.601234
0.02,22.571354,75.601234
0.02,22.571354,75.601234
0.02,22.571354,75.601234
0.02,22.571354,75.601234
0.02,22.571354,75.601234
0.04,22.571352,75.601234
0.04,22.571352,75.601234
0.02,22.571352,75.601234
0.02,22.571352,75.601234
0.02,22.571352,75.601234
0.02,22.571352,75.601234
0.02,22.571352,75.601234
0.02,22.571350,75.601234
0.04,22.571350,75.601234
0.04,22.571350,75.601234
0.04,22.571348,75.601234
0.02,22.571348,75.601242
0.04,22.571348,75.601242
0.04,22.571348,75.601242
0.02,22.571348,75.601242
0.02,22.571348,75.601242
0.02,22.571348,75.601242
0.02,22.571348,75.601242
0.04,22.571348,75.601234
0.04,22.571348,75.601234
0.04,22.571350,75.601234
0.04,22.571350,75.601234
0.02,22.571352,75.601234
0.02,22.571352,75.601242
0.02,22.571352,75.601242
0.02,22.571354,75.601242
0.02,22.571354,75.601242
0.02,22.571354,75.601242
0.02,22.571354,75.601242
0.02,22.571354,75.601242
0.02,22.571354,75.601242
0.02,22.571354,75.601242
0.02,22.571354,75.601242
0.02,22.571354,75.601242
0.02,22.571356,75.601234
0.02,22.571356,75.601234
0.02,22.571356,75.601234
0.02,22.571356,75.601234
0.04,22.571356,75.601234
0.04,22.571356,75.601234
0.04,22.571356,75.601234
0.04,22.571356,75.601234
0.02,22.571358,75.601234
1.69,22.571356,75.601234
9.02,22.571342,75.601234
9.02,22.571318,75.601227
11.28,22.571289,75.601219
12.48,22.571232,75.601204
12.46,22.571201,75.601196
12.46,22.571171,75.601181
12.52,22.571144,75.601166
14.59,22.571079,75.601151
14.65,22.571041,75.601143
14.65,22.571003,75.601143
16.78,22.570963,75.601143
17.83,22.570881,75.601158
18.58,22.570835,75.601166
18.58,22.570789,75.601181
19.87,22.570744,75.601204
20.15,22.570646,75.601242
19.17,22.570602,75.601273
19.17,22.570559,75.601295
17.61,22.570515,75.601311
13.45,22.570478,75.601318
14.82,22.570402,75.601326
14.82,22.570366,75.601334
13.46,22.570332,75.601334
13.13,22.570269,75.601318
15.06,22.570240,75.601303
15.06,22.570219,75.601280
11.61,22.570196,75.601257
13.28,22.570145,75.601212
13.72,22.570116,75.601196
13.72,22.570082,75.601181
14.82,22.570049,75.601158
13.56,22.570015,75.601143
7.72,22.569963,75.601120
7.72,22.569942,75.601112
10.69,22.569921,75.601105
11.45,22.569897,75.601089
11.61,22.569843,75.601067
11.61,22.569820,75.601051
7.89,22.569799,75.601044
17.50,22.569735,75.601021
12.37,22.569708,75.601021
12.37,22.569674,75.601013
10.59,22.569643,75.601013
13.08,22.569582,75.601006
12.00,22.569551,75.601006
12.00,22.569525,75.600998
6.95,22.569504,75.600990
9.56,22.569485,75.600990
11.11,22.569431,75.600990
11.11,22.569405,75.600990
9.28,22.569382,75.600998
9.80,22.569342,75.601021
8.28,22.569326,75.601028
8.28,22.569315,75.601044
10.39,22.569309,75.601067
11.15,22.569296,75.601120
11.45,22.569288,75.601143
11.45,22.569281,75.601173
12.26,22.569269,75.601196
7.91,22.569233,75.601234
7.91,22.569220,75.601250
11.67,22.569206,75.601265
9.96,22.569191,75.601288
11.83,22.569172,75.601311
10.00,22.569124,75.601357
10.00,22.569105,75.601372
11.69,22.569086,75.601395
11.69,22.569044,75.601448
13.91,22.569014,75.601471
13.91,22.568985,75.601494
12.50,22.568956,75.601509
12.50,22.568897,75.601532
9.26,22.568872,75.601540
9.26,22.568846,75.601540
8.63,22.568825,75.601547
9.69,22.568804,75.601547
14.17,22.568747,75.601540
14.17,22.568712,75.601540
15.11,22.568676,75.601524
15.72,22.568644,75.601501
17.08,22.568569,75.601479
17.08,22.568523,75.601479
18.78,22.568476,75.601486
16.13,22.568394,75.601486
16.43,22.568361,75.601463
16.43,22.568342,75.601425
18.06,22.568325,75.601379
14.15,22.568272,75.601334
14.54,22.568237,75.601334
16.87,22.568199,75.601326
19.95,22.568159,75.601303
16.17,22.568100,75.601242
15.80,22.568073,75.601212
15.80,22.568039,75.601181
19.46,22.567999,75.601158
21.87,22.567947,75.601135
20.56,22.567846,75.601089
20.56,22.567799,75.601059
19.59,22.567753,75.601036
17.69,22.567713,75.601013
17.85,22.567633,75.600967
17.85,22.567595,75.600945
15.39,22.567560,75.600929
14.43,22.567524,75.600914
12.74,22.567463,75.600906
12.74,22.567432,75.600906
18.08,22.567392,75.600906
16.08,22.567316,75.600922
6.74,22.567299,75.600937
6.74,22.567282,75.600945
3.65,22.567272,75.600952
3.74,22.567265,75.600960
10.57,22.567240,75.600990
10.57,22.567223,75.601021
21.87,22.567202,75.601059
19.93,22.567190,75.601166
17.15,22.567196,75.601212
17.15,22.567200,75.601257
15.00,22.567202,75.601295
14.32,22.567205,75.601334
13.02,22.567209,75.601410
13.02,22.567209,75.601440
12.52,22.567211,75.601471
12.63,22.567215,75.601540
12.78,22.567219,75.601570
12.78,22.567221,75.601601
13.41,22.567223,75.601639
13.80,22.567228,75.601715
14.54,22.567230,75.601753
14.54,22.567234,75.601791
16.24,22.567236,75.601837
14.46,22.567242,75.601921
11.45,22.567240,75.601952
11.45,22.567238,75.601974
7.19,22.567238,75.601997
3.63,22.567244,75.602013
0.13,22.567245,75.602020
0.13,22.567247,75.602020
0.50,22.567247,75.602028
0.63,22.567244,75.602058
0.59,22.567245,75.602074
0.59,22.567249,75.602089
0.37,22.567253,75.602097
0.37,22.567265,75.602127
15.70,22.567272,75.602158
15.70,22.567276,75.602211
28.78,22.567282,75.602287
31.87,22.567291,75.602371
25.84,22.567318,75.602539
25.84,22.567328,75.602608
26.85,22.567341,75.602676
33.32,22.567394,75.602837
36.37,22.567455,75.602913
34.00,22.567533,75.602959
29.98,22.567617,75.602974
36.41,22.567787,75.602943
39.52,22.567873,75.602898
39.52,22.567961,75.602844
41.58,22.568052,75.602791
42.95,22.568146,75.602730
45.43,22.568350,75.602631
45.43,22.568464,75.602600
47.37,22.568581,75.602570
46.15,22.568813,75.602516
46.08,22.568928,75.602493
46.87,22.569044,75.602470
46.56,22.569162,75.602448
45.56,22.569389,75.602409
46.69,22.569506,75.602394
46.69,22.569624,75.602379
48.21,22.569744,75.602364
47.36,22.569986,75.602348
48.11,22.570107,75.602348
48.11,22.570217,75.602348
36.78,22.570313,75.602325
33.93,22.570486,75.602341
37.95,22.570564,75.602386
37.95,22.570610,75.602470
36.48,22.570660,75.602547
36.28,22.570774,75.602692
34.71,22.570837,75.602760
34.71,22.570900,75.602814
36.04,22.570969,75.602875
36.17,22.571045,75.602921
39.32,22.571224,75.602982
39.32,22.571325,75.602997
38.60,22.571423,75.603004
35.32,22.571600,75.603012
35.87,22.571686,75.603020
35.87,22.571775,75.603043
38.48,22.571867,75.603081
41.17,22.572050,75.603157
39.00,22.572142,75.603195
39.00,22.572233,75.603210
36.76,22.572323,75.603218
31.63,22.572409,75.603210
17.59,22.572517,75.603188
17.59,22.572561,75.603172
25.65,22.572617,75.603149
25.65,22.572716,75.603104
21.50,22.572758,75.603081
21.50,22.572813,75.603058
28.67,22.572878,75.603027
27.35,22.573017,75.602966
24.54,22.573080,75.602951
24.54,22.573143,75.602951
26.00,22.573208,75.602951
28.37,22.573330,75.602882
30.97,22.573389,75.602829
30.97,22.573452,75.602760
36.52,22.573511,75.602684
32.10,22.573563,75.602615
36.15,22.573694,75.602493
36.15,22.573778,75.602448
37.21,22.573858,75.602394
40.36,22.573929,75.602318
41.50,22.574057,75.602142
41.50,22.574121,75.602051
37.52,22.574181,75.601967
